SKU,Product Name,Category,Location(s),Average Cost,Total Stock,On Order,Stock Min,Stock Max,Discontinued,hidden carton qty,hidden outer qty,hidden barcode unit,hidden barcode outer,hidden barcode carton
77LFF5-NP,77 Light Nicotine Pouches [Forest Fruits / 5.2mg],Nicotine Pouches,ELECTRA G22-F1  MEZ-ASTON Z2-F3  WITTON TRADE C6-D12,1.14,0,150,11,23,N,200,10,5905591987998,5906670985560,
77LFM5-NP,77 Light Nicotine Pouches [Fresh Mint / 5.2mg],Nicotine Pouches,ELECTRA G22-F2  MEZ-ASTON Z2-G3  WITTON TRADE C6-A5,1.14,80,0,9,19,N,200,10,5905591987981,5907053702651,
77LIM5-NP,77 Light Nicotine Pouches [Ice Mint / 5.2mg],Nicotine Pouches,ELECTRA G22-F3  MEZ-ASTON Z2-H3  WITTON TRADE C6-E11,1.14,73,0,13,27,N,200,10,5905591988001,5906670981487,
77LMM5-NP,77 Light Nicotine Pouches [Melon & Mint / 5.2mg],Nicotine Pouches,ELECTRA G22-F4  MEZ-ASTON Z2-I3  WITTON TRADE C6-F2,1.14,77,0,7,13,N,200,10,5905591988018,5906670989650,
77LRI5-NP,77 Light Nicotine Pouches [Raspberry Ice / 5.2mg],Nicotine Pouches,ELECTRA G22-F5  MEZ-ASTON Z2-J3  WITTON TRADE C6-E4,1.15,0,100,4,8,N,200,10,5907053716306,5907053718294,
77LW5-NP,77 Light Nicotine Pouches [Watermelon Ice / 5.2mg],Nicotine Pouches,ELECTRA G22-F6  MEZ-ASTON Z2-K3  WITTON TRADE C6-H1,1.15,15,100,22,44,N,200,10,5905591987967,5907053700152,
77MAM10-NP,77 Medium Nicotine Pouches [Apple & Mint / 10.4mg],Nicotine Pouches,ELECTRA G22-F7  MEZ-ASTON Z2-L3  WITTON TRADE C6-E3,1.15,-11,200,1,1,N,200,10,5905591987851,5906670981524,
77MBC10-NP,77 Medium Nicotine Pouches [Black Currant Ice / 10.4mg],Nicotine Pouches,ELECTRA G22-F8  MEZ-ASTON Z2-M3  WITTON TRADE C6-C3,1.18,13,150,17,35,N,200,10,5905591987820,5906670985553,
77MBI10-NP,77 Medium Nicotine Pouches [Blueberry Ice / 10.4mg],Nicotine Pouches,ELECTRA G22-F10  MEZ-ASTON Z2-N3  WITTON TRADE C6-G6,1.15,-1,100,15,29,N,200,10,5906670983238,5906670988141,
77MBT10-NP,77 Medium Nicotine Pouches [Black Tea / 10.4mg],Nicotine Pouches,ELECTRA G22-F9  MEZ-ASTON Z2-O3  WITTON TRADE C6-B7,1.18,40,0,3,7,N,200,10,5906670986574,5907053701210,
77MC10-NP,77 Medium Nicotine Pouches [Cola Ice / 10.4mg],Nicotine Pouches,ELECTRA A14-I4  MEZ-ASTON Z2-A2  WITTON TRADE C4-I1,1.15,41,200,27,53,N,200,10,5906670984518,5906670988219,
77MCC10-NP,77 Medium Nicotine Pouches [Cola & Cherry / 10.4mg],Nicotine Pouches,ELECTRA G22-F11  ELECTRA G23-R2  MEZ-ASTON Z2-B2  WITTON TRADE C6-D2,1.15,0,200,17,35,N,200,10,5905591989329,5906670985928,
77MCV10-NP,77 Medium Nicotine Pouches [Cola & Vanilla / 10.4mg],Nicotine Pouches,ELECTRA G22-F12  MEZ-ASTON Z2-C2  WITTON TRADE C4-I14,1.15,0,200,1,1,N,200,10,5905591987837,5906670986819,
77MFF10-NP,77 Medium Nicotine Pouches [Forest Fruits / 10.4mg],Nicotine Pouches,ELECTRA G22-G1  MEZ-ASTON Z2-D2  WITTON TRADE C6-C5,1.18,0,200,9,19,N,200,10,5905591987875,5906670985584,
77MFM10-NP,77 Medium Nicotine Pouches [Fresh Mint / 10.4mg],Nicotine Pouches,ELECTRA G22-G2  MEZ-ASTON Z2-E2  WITTON TRADE C10-F2,1.17,0,100,6,12,N,200,10,5905591987783,5906670986185,
77MGI10-NP,77 Medium Nicotine Pouches [Grape Ice / 10.4mg],Nicotine Pouches,ELECTRA G22-G3  MEZ-ASTON Z2-F2  WITTON TRADE C6-B5,1.15,0,150,11,23,N,200,10,5907053718041,5907053718355,
77MGT10-NP,77 Medium Nicotine Pouches [Green Tea / 10.4mg],Nicotine Pouches,ELECTRA G22-G4  ELECTRA P5-A1  MEZ-ASTON Z2-G2  WITTON TRADE C6-E2,1.15,165,0,6,12,N,200,10,5906670986598,5907053701173,
77MIM10-NP,77 Medium Nicotine Pouches [Ice Mint / 10.4mg],Nicotine Pouches,ELECTRA G22-G5  MEZ-ASTON Z2-H2  WITTON TRADE C6-B6,1.18,0,100,1,1,N,200,10,5905591987844,5906670986796,
77MPM10-NP,77 Medium Nicotine Pouches [Peach & Mint / 10.4mg],Nicotine Pouches,ELECTRA G22-G6  MEZ-ASTON Z2-I2  WITTON TRADE C6-C4,1.18,118,0,19,37,N,200,10,5905591987790,5905591987806,
77MPP10-NP,77 Medium Nicotine Pouches [Pink Punch / 10.4mg],Nicotine Pouches,ELECTRA G22-G7  MEZ-ASTON Z2-J2  WITTON TRADE C6-B4,1.15,0,400,1,1,N,200,10,5907053716474,5907053718317,
