SKU,Product Name,Category,Location(s),Average Cost,Total Stock,On Order,Stock Min,Stock Max,Discontinued,hidden carton qty,hidden outer qty,hidden barcode unit,hidden barcode outer,hidden barcode carton
GVAL5EB-VM,Geekvape Aegis Legend 5 Vape Mod [Earth Brown],XdeadX,,21.50,0,0,1,1,Y,1,1,6978271530929,6978271530929,
GVAL5FS-VK,Geekvape Aegis Legend 5 Vape Kit [Frost Silver],XdeadX,,29.59,0,0,1,1,Y,1,1,6978271530813,6978271530813,
GVAL5FS-VM,Geekvape Aegis Legend 5 Vape Mod [Frost Silver],XdeadX,,21.50,0,0,1,1,Y,1,1,6978271530899,6978271530899,
GVAL5GG-VK,Geekvape Aegis Legend 5 Vape Kit [Glacier Green],Hardware - Kits,,29.11,0,0,1,1,Y,1,1,6978271530820,6978271530820,
GVAL5GG-VM,Geekvape Aegis Legend 5 Vape Mod [Glacier Green],XdeadX,,21.50,0,0,1,1,Y,1,1,6978271530905,6978271530905,
GVAL5RG-VK,Geekvape Aegis Legend 5 Vape Kit [Racing Gold],Hardware - Kits,,29.16,0,0,1,1,Y,1,1,6978271530868,6978271530868,
GVAL5RG-VM,Geekvape Aegis Legend 5 Vape Mod [Racing Gold],XdeadX,,21.50,0,0,1,1,Y,1,1,6978271530943,6978271530943,
GVAL5TUR-VK,Geekvape Aegis Legend 5 Vape Kit [Turbo Red],XdeadX,,29.15,0,0,1,1,Y,1,1,6978271530851,6978271530851,
GVAL5TUR-VM,Geekvape Aegis Legend 5 Vape Mod [Turbo Red],XdeadX,,21.50,0,0,1,1,Y,1,1,6978271530936,6978271530936,
GVAL5TWB-VK,Geekvape Aegis Legend 5 Vape Kit [Twilight Blue],XdeadX,,29.15,0,0,1,1,Y,1,1,6978271530837,6978271530837,
GVAL5TWB-VM,Geekvape Aegis Legend 5 Vape Mod [Twilight Blue],XdeadX,,21.50,0,0,1,1,Y,1,1,6978271530912,6978271530912,
GVB2RPXL,Geekvape Aegis Boost B60 2 Replacement Pods [XL],XdeadX,,2.89,0,0,1,1,Y,1,1,6974622807559,6974622807566,
GVBOOSTCM0.4,Geekvape B Series Coils [0.4 Ohm],Hardware - Coils,ELECTRA A5-J3,4.90,9,0,72,144,N,200,1,6978271531407,6972866503893,
GVBOOSTCM0.6,Geekvape B Series Coils [0.6 Ohm],Hardware - Coils,ELECTRA A23-C4,4.90,25,20,52,104,N,200,20,6978271531421,6978271531438,
GVBPPWOC,eBay | Device Pods | Old Images | Geekvape Aegis Boost Plus | % | 2 Pack A | Cat-M [2ml],XdeadX,,3.60,0,0,1,1,Y,1,1,6972866500168,,
GVBRC0.2,Geekvape B Series Coils [0.2 Ohm],Hardware - Coils,ELECTRA A23-C1,5.17,22,50,47,93,N,200,1,6971894240589,6971894240596,
GVG18VPKSCAR,Geekvape G18 Pen Vape Kit [Scarlet],XdeadX,,9.58,0,0,1,1,Y,1,1,6970313645295,6970313645295,
GVGCPF1.2,Geekvape G Series Coils [1.2 Ohm],XdeadX,,4.41,0,0,1,1,Y,1,1,6971894248813,6971894248820,
GVGCPF1.2M,Geekvape G Series Coils [1.2 Ohm M],XdeadX,,4.01,0,0,1,1,Y,1,1,6972866509505,,
GVGCPF1.2S,Geekvape G Series Coils [1.2 Ohm S],XdeadX,,3.97,0,0,1,1,Y,1,1,6970313642867,6970313642867,
GVGCPF1.8,Geekvape G Series Coils [1.8 Ohm],XdeadX,,3.99,0,0,1,1,Y,1,1,6970313642881,6970313642881,
GVL200CLA,eBay | Tank/Kit | Geekvape Aegis L200 Vape | % [Classic Black],XdeadX,,30.01,0,0,1,1,Y,1,1,6971894245928,6971894245928,
GVL200MGR,eBay | Tank/Kit | Geekvape Aegis L200 Vape | % [Mint Green],XdeadX,,30.92,0,0,1,1,Y,1,1,6974622803803,6974622803803,
GVM100VMGRY,Geekvape Aegis M100 Mini 2 Box Mods [Grey],XdeadX,,22.90,0,0,1,1,Y,1,1,,,
GVMVC0.14,Geekvape M Series Coils [0.14ohm],XdeadX,,5.15,0,0,1,1,Y,1,1,6972866509567,6972866509574,
GVOB60RPODS2ML,Geekvape Obelisk 60 Replacement Pod with Coils (Pack of 1) [2ml],XdeadX,,5.21,0,0,1,1,Y,1,1,6972866508362,6972866508362,
GVOB65FCSAP,Geekvape Obelisk 65 FC Pod Mod Kit [Sapphire],XdeadX,,21.08,0,0,1,1,Y,1,1,6974622800314,6974622800314,
GVPSC0.2,Geekvape P Series Coils [0.2 Ohm],XdeadX,,5.10,0,0,1,1,Y,1,1,6972866503701,6972866503718,
GVPSC0.4,Geekvape P Series Coils [0.4 Ohm],XdeadX,,5.31,0,0,1,1,Y,1,1,6972866503763,6972866503770,
GVS100VKBL,Geekvape S100 Aegis Solo 2 Vape Kit [Black],XdeadX,,27.60,0,0,1,1,Y,1,1,6974622800710,6974622800710,
GVS2B-PK,Geekvape Soul 2 Pod Kit [Black],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2BP-PK,Geekvape Soul 2 Pod Kit [Blush Pink],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2HB-PK,Geekvape Soul 2 Pod Kit [Harbor Blue],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2MP-PK,Geekvape Soul 2 Pod Kit [Mist Purple],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2OG-PK,Geekvape Soul 2 Pod Kit [Olive Green],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2PW-PK,Geekvape Soul 2 Pod Kit [Pearl White],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2SB-PK,Geekvape Soul 2 Pod Kit [Sands Beige],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVS2UG-PK,Geekvape Soul 2 Pod Kit [Urban Grey],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVSCBV042-P,Geekvape Soul Cartridge (Boost Version) Pods 2 Pack [0.4 Ohm],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVSCBV062-P,Geekvape Soul Cartridge (Boost Version) Pods 2 Pack [0.6 Ohm],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVSCBV12-P,Geekvape Soul Cartridge (Boost Version) Pods 2 Pack [1.0 Ohm],XdeadX,,0.00,0,0,5,100,Y,1,1,,,
GVSFQP2ML043-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [0.4 Ohm / 2ml],Open Pods,ELECTRA B19-B16  WITTON TRADE C4-K8,3.16,0,100,97,195,N,240,20,6970313641273,6970313641914,
GVSFQP2ML063-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [0.6 Ohm / 2ml],Open Pods,ELECTRA B20-C1  WITTON TRADE C4-L11,2.85,0,20,1,1,N,240,20,6970313641730,6970313641679,
GVSFQP2ML083-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [0.8 Ohm / 2ml],Open Pods,ELECTRA B16-A5  WITTON TRADE C4-K9,2.85,-106,100,1,1,N,240,20,6970313641877,6970313641884,
GVSFQP2ML123-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [1.2 Ohm / 2ml],Open Pods,,3.16,0,0,1,1,Y,240,1,6970313641891,6970313641907,
GVSFQPXL043-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [0.4 Ohm / XL],Open Pods,ELECTRA B16-A3,3.16,665,0,290,580,N,240,20,6970313641259,6970313641266,
GVSFQPXL063-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [0.6 Ohm / XL],Open Pods,ELECTRA B20-A6,2.83,585,580,1415,2829,N,240,20,6970313641211,6970313641228,
GVSFQPXL083-P,Geekvape Q Pod Side Fill Cartridges 3 Pack [0.8 Ohm / XL],Open Pods,ELECTRA GOODS IN  ELECTRA B16-B2,2.85,3,400,847,1695,N,240,1,6970313641235,6970313641242,
GVSQ2AY-PK,Geekvape Sonder Q2 Pod Kit [Apricot Yellow],Open Pod Kits,ELECTRA B10-D7,4.28,113,0,67,135,N,200,10,6971894249919,6971894249902,
GVSQ2BR-PK,Geekvape Sonder Q2 Pod Kit [Burgundy Red],Open Pod Kits,ELECTRA B10-D2  WITTON TRADE D19-A3,4.36,123,0,133,265,N,200,10,6972866500397,6972866500403,
GVSQ2FIG-PK,Geekvape Sonder Q2 Pod Kit [Fizzy Grape],Open Pod Kits,ELECTRA B10-D8,4.75,22,50,16,32,N,200,10,6978271531117,6978271531124,
GVSQ2FIL-PK,Geekvape Sonder Q2 Pod Kit [Fizzy Lemon],Open Pod Kits,ELECTRA B10-D6,4.46,88,70,78,156,N,200,10,6978271531179,6978271531186,
GVSQ2FIM-PK,Geekvape Sonder Q2 Pod Kit [Fizzy Mint],Open Pod Kits,ELECTRA B10-D4,4.16,0,0,130,260,N,200,10,6978271531155,6978271531162,
GVSQ2FIP-PK,Geekvape Sonder Q2 Pod Kit [Fizzy Peach],Open Pod Kits,ELECTRA B10-D3,4.12,135,0,95,189,N,200,10,6978271531131,6978271531148,
GVSQ2MB-PK,Geekvape Sonder Q2 Pod Kit [Misty Blue],Open Pod Kits,ELECTRA B10-D1,4.22,67,0,39,79,N,200,10,6971894249933,6971894249926,
GVSQ2MG-PK,Geekvape Sonder Q2 Pod Kit [Mocha Gold],Open Pod Kits,ELECTRA B4-C4,4.35,46,20,70,140,N,200,10,6972866500410,6972866500427,
GVSQ2MNB-PK,Geekvape Sonder Q2 Pod Kit [Midnight Black],Open Pod Kits,ELECTRA B4-A8  WITTON TRADE D19-A6,4.40,134,0,245,491,N,200,10,6971894249971,6971894249964,
GVSQ2MP-PK,Geekvape Sonder Q2 Pod Kit [Metallic Purple],Open Pod Kits,ELECTRA T17-A1  ELECTRA B20-C8  WITTON TRADE D19-A5,4.46,175,0,108,216,N,200,1,6971894249841,6972866500380,
GVSQ2MS-PK,Geekvape Sonder Q2 Pod Kit [Moonlight Silver],Open Pod Kits,ELECTRA B4-D1,4.46,17,20,149,299,N,200,10,6971894249995,6971894249988,
GVSQ2OB-PK,Geekvape Sonder Q2 Pod Kit [Ocean Blue],Open Pod Kits,ELECTRA B10-D5,4.46,98,80,83,167,N,200,10,6971894249872,6971894249858,
GVSQ2OG-PK,Geekvape Sonder Q2 Pod Kit [Olive Green],Open Pod Kits,ELECTRA A14-I12  WITTON TRADE D19-A4,4.46,7,0,24,48,N,200,10,6971894249896,6971894249889,
GVSQ2SP-PK,Geekvape Sonder Q2 Pod Kit [Sakura Pink],Open Pod Kits,ELECTRA B8-D1  WITTON TRADE D19-A2,4.55,-10,70,99,199,N,200,10,6971894249957,6971894249940,
GVSSC0.25,Geekvape S Series Coils [Dual Mesh 0.25 Ohm],XdeadX,,5.95,0,0,1,1,Y,1,1,,,
GVWQ2FB-PK,Geekvape Wenax Q2 Pod Kit [Fiber Black],Open Pod Kits,,9.80,0,0,1,1,Y,1,1,6978271530707,6978271530707,
GVWQ2LP-PK,Geekvape Wenax Q2 Pod Kit [Lilac Purple],Open Pod Kits,,9.80,0,0,1,1,Y,1,1,6978271530745,6978271530745,
GVWQ2MCM-PK,Geekvape Wenax Q2 Pod Kit [Mocha Mousse],Open Pod Kits,,10.10,0,0,1,1,Y,1,1,6978271530738,6978271530738,
GVWQ2MNB-PK,Geekvape Wenax Q2 Pod Kit [Monet Blue],Open Pod Kits,,9.75,0,0,1,1,Y,1,1,6978271530714,6978271530714,
GVWQ2PP-PK,Geekvape Wenax Q2 Pod Kit [Powder Pink],Open Pod Kits,,9.84,0,0,1,1,Y,1,1,6978271530776,6978271530776,
GVWQ2RA-PK,Geekvape Wenax Q2 Pod Kit [Ruby Amber],Open Pod Kits,,10.10,0,0,1,1,Y,1,1,6978271530769,6978271530769,
GVWQ2SML-PK,Geekvape Wenax Q2 Pod Kit [Summer Lime],XdeadX,,10.10,0,0,1,1,Y,1,1,6978271530783,6978271530783,
GVWQ2SND-PK,Geekvape Wenax Q2 Pod Kit [Sunset Dune],XdeadX,,10.10,0,0,1,1,Y,1,1,6978271530721,6978271530721,
GVWQ2VB-PK,Geekvape Wenax Q2 Pod Kit [Vinca Blue],XdeadX,,10.10,0,0,1,1,Y,1,1,6978271530752,6978271530752,
GVWQUCB-PK,Geekvape Wenax Q Ultra Pod Kit [Carbon Black],XdeadX,,13.23,-1,0,1,1,Y,1,1,6970313640559,6970313640559,
GVWQUCG-PK,Geekvape Wenax Q Ultra Pod Kit [Champagne Gold],XdeadX,,12.98,0,0,1,1,Y,1,1,6970313640504,6970313640504,
GVWQUCOB-PK,Geekvape Wenax Q Ultra Pod Kit [Coastal Blue],XdeadX,,12.86,0,0,1,1,Y,1,1,6970313640511,6970313640511,
GVWQUDO-PK,Geekvape Wenax Q Ultra Pod Kit [Dawn Orange],XdeadX,,12.95,-3,0,1,1,Y,1,1,6970313640528,6970313640528,
GVWQUFS-PK,Geekvape Wenax Q Ultra Pod Kit [Frosted Silver],XdeadX,,12.77,-2,0,1,1,Y,1,1,6970313640533,6970313640533,
GVWQUMG-PK,Geekvape Wenax Q Ultra Pod Kit [Mint Green],XdeadX,,12.96,-1,0,1,1,Y,1,1,6970313640498,6970313640498,
GVWQUMP-PK,Geekvape Wenax Q Ultra Pod Kit [Midnight Purple],XdeadX,,12.86,-1,0,1,1,Y,1,1,6970313640481,6970313640481,
GVWQUSG-PK,Geekvape Wenax Q Ultra Pod Kit [Steel Grey],XdeadX,,12.75,0,0,1,1,Y,1,1,6970313640542,6970313640542,
GVZCZ0.15,Geekvape Z Series Replacement Coils [Z 0.15 Ohm],Hardware - Coils,ELECTRA A5-J4,5.07,0,10,0,0,N,200,1,6970313646247,6970313646223,
GVZCZ0.25,Geekvape Z Series Replacement Coils [Z 0.25 Ohm],Hardware - Coils,ELECTRA A5-J6,8.59,0,0,1,1,N,200,1,6970313643918,6970313643956,
GVZCZ1,Geekvape Z Series Replacement Coils [Z1 - 0.4 Ohm],Hardware - Coils,ELECTRA B22-B2,4.85,0,520,691,1381,N,200,10,6971894249773,6971894249780,
GVZCZ2,Geekvape Z Series Replacement Coils [Z2 - 0.2 Ohm],Hardware - Coils,ELECTRA B18-C2,4.72,0,400,357,715,N,200,10,6971894249759,6971894249766,
GVZDBGTC,Geekvape Zeus Dual Bubble Glass Tube [XL],Hardware - Glass Tubes,ELECTRA A10-D9,0.80,-16,0,20,40,Y,1,1,6970313648081,6970313648098,
GVZSOTBLK,Geekvape Zeus Sub Ohm Tank [Black],Hardware - Tanks,ELECTRA A11-R2  ELECTRA A11-R1  ELECTRA A12-C4,9.85,43,0,3,5,N,50,1,6971894247175,6971894247175,
GVZSOTGM,Geekvape Zeus Sub Ohm Tank [Gunmetal],XdeadX,,9.99,0,0,1,1,Y,50,1,6971894247199,6971894247199,
GVZSOTRBO,Geekvape Zeus Sub Ohm Tank [Rainbow],XdeadX,,10.07,0,0,1,1,Y,50,1,6971894247229,6971894247229,
GVZSOTSS,Geekvape Zeus Sub Ohm Tank [Stainless Steel],XdeadX,,9.80,0,0,1,1,Y,50,1,6971894247168,6971894247168,
GWMSAPP-C,Gushers Watermelon and Sour Apple 6 Boxes 120g RRP £3.99 [8 pcs],Non-Vape - Confectionary,ELECTRA G11-B9  WITTON TRADE D16-D4,18.50,0,3,1,1,N,1,1,016000225398,016000225398,
GWQMGG-PK,Geekvape Wenax Q Mini Pod Kit [Gradient Gold],XdeadX,,7.20,0,0,1,1,Y,1,5,6975984053325,6975984053325,
GWQMGRG-PK,Geekvape Wenax Q Mini Pod Kit [Gradient Gray],XdeadX,,7.01,0,0,1,1,Y,1,5,6975984053349,6975984053349,
GWQMP-PK,Geekvape Wenax Q Mini Pod Kit [Pink],XdeadX,,7.27,0,0,1,1,Y,1,5,6975984053370,6975984053370,
GWQMT-PK,Geekvape Wenax Q Mini Pod Kit [Turquoise],XdeadX,,7.14,0,0,1,1,Y,1,5,6975984053363,6975984053363,
H5050BCC100-S,Hayati Pro Max 50/50 100ml Shortfill [Blueberry Cherry Cranberry / 100ml],XdeadX,,3.00,0,0,1,1,Y,1,1,6977119133995,,
H5050BI100-S,Hayati Pro Max 50/50 100ml Shortfill [Banana Ice / 100ml],XdeadX,,2.92,0,0,1,1,Y,1,1,6977119134107,,
H5050BR100-S,Hayati Pro Max 50/50 100ml Shortfill [Blueberry Raspberry / 100ml],XdeadX,,2.67,0,0,1,1,Y,1,1,6977119133971,,
H5050BRC100-S,Hayati Pro Max 50/50 100ml Shortfill [Blue Razz Cherry / 100ml],XdeadX,,3.03,0,0,1,1,Y,1,1,6977119133964,,
H5050BRGB100-S,Hayati Pro Max 50/50 100ml Shortfill [Blue Razz Gummy Bear / 100ml],XdeadX,,3.00,0,0,1,1,Y,1,1,6977119134053,,
H5050BSR100-S,Hayati Pro Max 50/50 100ml Shortfill [Blue Sour Raspberry / 100ml],XdeadX,,2.66,0,0,1,1,Y,1,1,6977119134015,,
H5050FC100-S,Hayati Pro Max 50/50 100ml Shortfill [Fizzy Cherry / 100ml],XdeadX,,3.04,0,0,1,1,Y,1,1,6977119134022,,
H5050FM100-S,Hayati Pro Max 50/50 100ml Shortfill [Fresh Mint / 100ml],XdeadX,,2.86,0,0,1,1,Y,1,1,6977119134046,,
H5050JP100-S,Hayati Pro Max 50/50 100ml Shortfill [Juicy Peach / 100ml],XdeadX,,3.00,0,0,1,1,Y,1,1,6976133160406,,
H5050LL100-S,Hayati Pro Max 50/50 100ml Shortfill [Lemon & Lime / 100ml],XdeadX,,2.94,0,0,1,1,Y,1,1,6977119133940,,
H5050MB100-S,Hayati Pro Max 50/50 100ml Shortfill [Mr Blue / 100ml],XdeadX,,3.04,0,0,1,1,Y,1,1,6977119133988,,
H5050PI100-S,Hayati Pro Max 50/50 100ml Shortfill [Pineapple Ice / 100ml],XdeadX,,3.00,0,0,1,1,Y,1,1,6976133160338,6977119134060,
H5050R100-S,Hayati Pro Max 50/50 100ml Shortfill [Rainbow / 100ml],XdeadX,,3.00,0,0,1,1,Y,1,1,6977119134008,,
H5050RAI100-S,Hayati Pro Max 50/50 100ml Shortfill [Red Apple Ice / 100ml],XdeadX,,2.90,0,0,1,1,Y,1,1,6977119134114,,
H5050SD100-S,Hayati Pro Max 50/50 100ml Shortfill [Summer Dream / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6977119134039,,
H5050SRI100-S,Hayati Pro Max 50/50 100ml Shortfill [Strawberry Raspberry Ice / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6977119133957,,
H5050TM100-S,Hayati Pro Max 50/50 100ml Shortfill [Triple Mango / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160369,6977119134091,
H5050VI100-S,Hayati Pro Max 50/50 100ml Shortfill [Vimbull Ice / 100ml],XdeadX,,2.95,0,0,1,1,Y,1,1,6977119134121,6977119134121,
H5050WI100-S,Hayati Pro Max 50/50 100ml Shortfill [Watermelon Ice / 100ml],XdeadX,,3.00,0,0,1,1,Y,1,1,6976133160345,6977119134077,
H5050WLB100-S,Hayati Pro Max 50/50 100ml Shortfill [Watermelon Lemon Burst / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6977119134084,,
H5EGBRY-HW,High 5 Energy Gel Berry 38g RRP £1.49 [20 pcs],Non-Vape - Health & Protein,,18.00,50,0,5,100,N,1,1,00000000000,5027492002621,1
H5EGONGE-HW,High 5 Energy Gel Orange 38g RRP £1.49 [20 pcs],Non-Vape - Health & Protein,,18.00,50,0,5,100,N,1,1,00000000000,5027492999198,1
H5ZBRY-HW,High 5 Zero Active Hydration Berry 20 Tablet Tube RRP £7.99 [8 pcs],Non-Vape - Health & Wellbeing,,35.00,50,0,5,100,N,1,1,00000000000,5027492995916,1
H5ZCITRS-HW,High 5 Zero Active Hydration Citrus 20 Tablet Tube RRP £7.99 [8 pcs],Non-Vape - Health & Wellbeing,,35.00,50,0,5,100,N,1,1,00000000000,5027492995923,1
H7030BCC100-S,Hayati Pro Max 70/30 100ml Shortfill [Blueberry Cherry Cranberry / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160260,,
H7030BI100-S,Hayati Pro Max 70/30 100ml Shortfill [Banana Ice / 100ml],XdeadX,,2.48,0,0,1,1,Y,1,1,6976133160376,,
H7030BR100-S,Hayati Pro Max 70/30 100ml Shortfill [Blueberry Raspberry / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160246,,
H7030BRC100-S,Hayati Pro Max 70/30 100ml Shortfill [Blue Razz Cherry / 100ml],XdeadX,,2.49,0,0,1,1,Y,1,1,6976133160239,,
H7030BRGB100-S,Hayati Pro Max 70/30 100ml Shortfill [Blue Razz Gummy Bear / 100ml],XdeadX,,2.52,0,0,1,1,Y,1,1,6976133160321,,
H7030BSR100-S,Hayati Pro Max 70/30 100ml Shortfill [Blue Sour Raspberry / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160284,,
H7030FC100-S,Hayati Pro Max 70/30 100ml Shortfill [Fizzy Cherry / 100ml],XdeadX,,2.47,0,0,1,1,Y,1,1,6976133160291,,
H7030FM100-S,Hayati Pro Max 70/30 100ml Shortfill [Fresh Mint / 100ml],XdeadX,,2.62,0,0,1,1,Y,1,1,6976133160314,,
H7030JP100-S,Hayati Pro Max 70/30 100ml Shortfill [Juicy Peach / 100ml],XdeadX,,2.58,0,0,1,1,Y,1,1,6976133160406,,
H7030LL100-S,Hayati Pro Max 70/30 100ml Shortfill [Lemon & Lime / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160215,,
H7030MB100-S,Hayati Pro Max 70/30 100ml Shortfill [Mr Blue / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160253,,
H7030PI100-S,Hayati Pro Max 70/30 100ml Shortfill [Pineapple Ice / 100ml],XdeadX,,2.53,0,0,1,1,Y,1,1,6976133160338,,
H7030R100-S,Hayati Pro Max 70/30 100ml Shortfill [Rainbow / 100ml],XdeadX,,2.59,0,0,1,1,Y,1,1,6976133160277,,
H7030RAI100-S,Hayati Pro Max 70/30 100ml Shortfill [Red Apple Ice / 100ml],XdeadX,,2.65,0,0,1,1,Y,1,1,6976133160383,,
H7030SD100-S,Hayati Pro Max 70/30 100ml Shortfill [Summer Dream / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160307,,
H7030SRI100-S,Hayati Pro Max 70/30 100ml Shortfill [Strawberry Raspberry Ice / 100ml],XdeadX,,2.50,0,0,1,1,Y,1,1,6976133160222,,
H7030TM100-S,Hayati Pro Max 70/30 100ml Shortfill [Triple Mango / 100ml],XdeadX,,2.54,0,0,1,1,Y,1,1,6976133160369,,
H7030VI100-S,Hayati Pro Max 70/30 100ml Shortfill [Vimbull Ice / 100ml],E-liquids - Shortfills,ELECTRA B19-B8,2.52,18,0,3,5,Y,1,1,6976133160390,,
H7030WI100-S,Hayati Pro Max 70/30 100ml Shortfill [Watermelon Ice / 100ml],XdeadX,,2.58,0,0,1,1,Y,1,1,6976133160345,,
H7030WLB100-S,Hayati Pro Max 70/30 100ml Shortfill [Watermelon Lemon Burst / 100ml],XdeadX,,2.60,0,0,1,1,Y,1,1,6976133160352,,
HARDWARE-DTL-TANK,Shop | DISCON | TANKS [Direct to Lung Tank],-,,0.00,-3,0,1,1,N,1,1,,,
HARDWARE-MTL-TANK,Shop | DISCON | TANKS [Mouth to Lung Tank],-,,0.00,-1,0,1,1,N,1,1,,,
HATABB-POS,Hyola A5 Trade App Bundle Booklet [A5 Product Leaflet],POS,,0.01,450,0,1,1,N,1,1,00000000000,00000000000,
HAYBLKBICE-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Blackberry Ice / 20mg],Pre-filled Pod Kits,ELECTRA A23-R3  ELECTRA A24-E2  ELECTRA REPLEN A,4.32,140,0,5,100,N,160,5,6936329027425,6936329027647,
HAYCOLALIM-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Cola Lime / 20mg],Pre-filled Pod Kits,ELECTRA A23-R3  ELECTRA A24-D4  ELECTRA P2-A2  ELECTRA P27-A2  ELECTRA P27-A1  ELECTRA P22-B1  ELECTRA P21-A3  ELECTRA P13-A2,4.37,1200,320,5,100,N,160,5,6936329016139,6936329016153,6936329016177
HAYCOLALIM-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Cola Lime / 20mg],Pre-filled Pods,ELECTRA B11-C13  ELECTRA B11-S1  ELECTRA P19-A3  ELECTRA P11-A2,2.84,131,80,5,100,N,80,5,6936329016191,6936329016214,6936329016238
HAYDOUBMNTHL-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Double Menthol / 20mg],Pre-filled Pod Kits,ELECTRA A24-D3,4.39,-38,160,5,100,N,160,5,6936329013596,6936329013657,
HAYMAD-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Mad Blue / 20mg],Pre-filled Pod Kits,ELECTRA A21-R1  ELECTRA A22-D4  ELECTRA P25-A3  ELECTRA P13-A2,4.38,351,0,5,100,N,160,5,6936329016146,6936329016160,6936329016184
HAYPMBCL-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Blackcurrant Lemonade / 20mg],Pre-filled Pod Kits,ELECTRA E15-D1  ELECTRA P13-A1,4.39,475,0,5,100,N,160,5,6936329027432,6936329027654,6936329028651
HAYPMBLCLEM-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Blackberry Lemonade / 20mg],Pre-filled Pods,ELECTRA E17-D3,0.00,0,0,5,100,N,80,5,,,
HAYPMBLMINT10-NS,Hayati Pro Max Nic Salt 10mg [Black Mint / 10mg],E-liquids - Nic Salts,,0.00,0,0,5,100,N,200,10,,,
HAYPMBLMINT20-NS,Hayati Pro Max Nic Salt 20mg [Black Mint / 20mg],E-liquids - Nic Salts,,0.00,0,0,5,100,N,200,10,,,
HAYPMDBAPP-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Double Apple / 20mg],Pre-filled Pod Kits,ELECTRA E15-D2,4.38,320,0,5,100,N,160,5,6936929027463,6936329027685,6936329028682
HAYPMDBMN-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Double Menthol / 20mg],Pre-filled Pods,ELECTRA E17-D2  ELECTRA P27-A2  ELECTRA P13-A2,2.84,560,80,5,100,N,80,5,6936329013770,6936329013831,6936329013893
HAYPMGRAPGB-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Grape GB / 20mg],Pre-filled Pods,ELECTRA E17-D5,2.81,475,0,5,100,N,80,5,00000,6936329030265,6936329030487
HAYPMGRBRY-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Grape Berry / 20mg],Pre-filled Pod Kits,ELECTRA D3-A4,4.42,150,0,5,100,N,160,5,6936329018386,6936329018461,6936329018546
HAYPMGRBRY-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Grape Berry / 20mg],Pre-filled Pods,ELECTRA E17-D1,2.85,240,160,5,100,N,80,6,6936329022086,6936329022161,6936329022246
HAYPMGRGB-PK,Hayati Pro Max+ 6K Prefilled Pod Kit [Grape GB / 20mg],Pre-filled Pod Kits,ELECTRA P27-A2  ELECTRA P13-A1  ELECTRA D3-A5,4.42,470,0,5,100,N,160,5,6936329027500,6936329027722,6936329028729
HAYPMREDBYIC10-NS,Hayati Pro Max Nic Salt 10mg [Red Berry Ice / 10mg],E-liquids - Nic Salts,,0.00,0,0,5,100,N,200,10,,,
HAYPMREDBYIC20-NS,Hayati Pro Max Nic Salt 20mg [Red Berry Ice / 20mg],E-liquids - Nic Salts,,0.00,0,0,5,100,N,200,10,,,
HAYPMREDSAP-PP,Hayati Pro Max+ 6K Prefilled Replacement Pods [Red Sour Apple / 20mg],Pre-filled Pods,ELECTRA E17-D4,2.80,0,320,5,100,N,80,5,,,
